Tender,Company,Procurement,Notice,Location,Closing,Value,Date
Universal Business Support (UBS) 2 Consultancy 2023,None,Opportunity,Open,England,"9 October 2023, 12pm","£520,000",8 September 2023
"Provision for a Research project on Mexican State level procurement opportunities Trade- Non ODA Funds 2023-2024 , for the British Embassy in Mexico City.",None,Opportunity,Open,Any region,"29 September 2023, 11:59pm","£37,000","8 September 2023, last edited  8 September 2023"
"Provision for the implementation of a Trade- Non- Official Development Assistance for Matching the UK's Agri-Tech supply to Mexico's Agricultural demand, for the British Embassy in Mexico City.",None,Opportunity,Open,Any region,"29 September 2023, 11:59pm","£45,000",8 September 2023
Assessing the way systems engage with people - Research 15,None,Early engagement,Open,England,21 September 2023,"Publication date7 September 2023, last edited  8 September 2023",None
Research and Evaluation Framework,None,Early engagement,Open,England,19 September 2023,"Publication date7 September 2023, last edited  8 September 2023",None
Provision of Insurance and related services to Hyde Housing Association and subsidiaries,None,Opportunity,Open,SE1 9EQ,"10 October 2023,  5pm","£0 to £6,500,000",8 September 2023
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,None,Opportunity,Open,United Kingdom,"19 September 2023, 10am",£0,8 September 2023
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,None,Opportunity,Open,United Kingdom,"19 September 2023, 10am",£0,8 September 2023
Procurement of Providers for the National Professional Qualification (NPQ) for Special Education Needs Coordinators (SENCOs) Framework,None,Opportunity,Open,"North East, North West, Yorkshire and the Humber, East Midlands, West Midlands, East of England, London, South East, South West","3 November 2023, 12pm","£15,000,000",8 September 2023
Vehicle Rental Long-Term Agreement - Lebanon,None,Opportunity,Open,Lebanon,"28 September 2023,  4pm","£100,000",8 September 2023
SeaCity Museum Showcase Lights LED upgrade,None,Opportunity,Open,SO14 7LY,"6 October 2023,  5pm","£37,500","8 September 2023, last edited  8 September 2023"
Media Bales and Air Displacement Pipe replacement,None,Opportunity,Open,England,"6 October 2023, 12pm","£25,000",8 September 2023
North East Quadrant (NEQ) Development - Design and Build Contractor,None,Opportunity,Open,South East,"9 October 2023, 12pm","£125,000,000 to £150,000,000",8 September 2023
Cyclical Decorations and associated works,None,Opportunity,Open,"South East, South West, London","9 October 2023, 12pm","£600,000",8 September 2023
Exhibition Design Tender - Mineral Gallery - Royal Institution of Cornwall,None,Opportunity,Open,South West,"18 October 2023, 12pm","£300,000 to £400,000",8 September 2023
HSE RFQ - Gas Chromatograph-Mass Spectrometer (GC-MS),None,Opportunity,Open,SK17 9JN,"12 October 2023,  1pm","£1,000 to £95,000",8 September 2023
WCC - Financial Consultancy for WRIF and WPDG,None,Opportunity,Open,West Midlands,"29 September 2023, 12pm","£0 to £150,000",8 September 2023
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Highways,None,Opportunity,Open,United Kingdom,"19 September 2023, 10am",£0,8 September 2023
Upgrading and extending the pathways at Ashgrove Cemetery,None,Opportunity,Open,BA2 8PW,"6 October 2023,  5pm",£1,"18 August 2023, last edited  8 September 2023"
Tree Maintenance - Reactive - Tree Maintenance - Reactive - Homes for Haringey,None,Opportunity,Open,United Kingdom,"19 September 2023, 10am",£0,8 September 2023
Water Hygiene,None,Opportunity,Open,Yorkshire and the Humber,"10 October 2023, 12pm","£21,000,000",8 September 2023
Radford Road Window Replacement,None,Opportunity,Open,East Midlands,"6 October 2023, 12pm","£0 to £700,000",8 September 2023
WFD Georgia Call for Expert: Climate Change and Democratic Governance,None,Opportunity,Open,Georgia,"22 September 2023, 11:59pm","£15,000",8 September 2023
(VEAT) Professional Support & Wellbeing (PSW) Coaching - NHSE,None,Opportunity,Open,LS2 7UE,"18 September 2023, 12pm","£110,000",8 September 2023
GB-London: 807997561 T1280 Evaluating the effectiveness of control measures for unauthorised presence of 'mobile smart devices' within the drivers cab,None,Opportunity,Open,Any region,"29 September 2023, 12pm","£50,000 to £100,000",8 September 2023
Provision of Insurance and related services to Merthyr Valleys Homes Ltd,None,Opportunity,Open,Any region,"9 October 2023,  5pm","£1,527,950",8 September 2023
